Test,Circuit,Phase 1,Phase 2,Phase 3
9,40,7,12,9
9,41,11,6,6
9,42,2,2,2
9,43,15,11,8
9,44,9,7,6
9,45,13,15,12
9,46,10,9,10
9,47,9,7,7
9,48,3,4,3
9,49,11,9,21
9,50,10,8,8
9,51,11,8,5
9,52,9,5,6
9,53,6,3,5
9,54,11,10,19
9,55,9,5,5
9,56,15,11,9
9,57,5,3,3
9,58,8,8,6
9,59,9,7,7
9,60,7,4,4
9,61,6,7,5
9,62,7,5,27
9,63,9,4,4
9,64,6,8,6
9,65,10,14,30
9,66,11,11,11
9,67,15,11,8
9,68,21,10,10
9,69,8,5,4
9,70,2,2,2
9,71,7,5,5
9,72,10,10,9
9,73,8,5,3
9,74,8,5,5
9,75,11,9,7
9,76,7,5,5
9,77,14,7,9
9,78,13,10,11
9,79,10,6,6
9,80,9,7,9
9,81,13,11,14
9,82,2,2,2
9,83,16,15,11
9,84,7,7,4
9,85,13,12,11
9,86,16,11,7
9,87,8,8,8
9,88,5,2,2
9,89,8,8,8
9,90,6,5,4
9,91,4,2,3
9,92,13,5,7
9,93,20,13,15
9,94,16,12,11
9,95,16,17,13
9,96,19,15,12
9,97,13,9,6
9,98,12,10,8
9,99,10,6,4
9,100,8,3,3
10,1,10,7,5
10,2,5,3,3
10,3,10,4,8
10,4,7,6,6
10,5,12,12,11
10,6,14,9,8
10,7,5,11,5
10,8,15,12,9
10,9,8,8,18
10,10,10,10,7
10,11,0,0,0
10,12,4,6,4
10,13,10,5,4
10,14,6,5,3
10,15,11,11,7
10,16,8,5,5
10,17,18,13,12
10,18,3,2,2
10,19,12,9,7
10,20,16,14,13
10,21,7,8,5
10,22,6,6,4
10,23,3,3,3
10,24,5,5,3
10,25,8,6,3
10,26,23,11,9
10,27,13,10,9
10,28,19,14,11
10,29,8,7,7
10,30,5,5,5
10,31,13,8,9
10,32,8,8,4
10,33,18,12,11
10,34,6,5,5
10,35,11,13,10
10,36,10,10,8
10,37,13,16,13
10,38,7,5,3
10,39,13,10,20
10,40,10,5,6
10,41,4,6,4
10,42,15,9,7
10,43,10,6,6
10,44,13,12,10
10,45,5,5,5
10,46,12,7,11
10,47,6,5,4
10,48,8,7,6
10,49,15,11,13
10,50,11,6,4
10,51,3,2,2
10,52,15,17,21
10,53,12,7,21
10,54,10,5,5
10,55,14,11,10
10,56,11,9,11
10,57,10,10,6
10,58,4,7,4
10,59,19,17,9
10,60,5,4,4
10,61,14,11,10
10,62,6,7,5
10,63,5,6,5
10,64,4,4,4
10,65,11,12,9
10,66,11,10,6
10,67,8,9,8
10,68,9,10,8
10,69,6,3,6
10,70,8,6,6
10,71,2,1,1
10,72,4,5,4
